2019-08-02 17:01:56 -03 FATAL:  the database system is starting up
2019-08-02 17:01:56 -03 LOG:  database system was shut down at 2019-08-01 23:22:31 -03
2019-08-02 17:01:57 -03 LOG:  MultiXact member wraparound protections are now enabled
2019-08-02 17:01:57 -03 LOG:  sistema de banco de dados está pronto para aceitar conexões
2019-08-02 17:01:57 -03 LOG:  autovacuum launcher started
2019-08-02 17:28:07 -03 LOG:  pedido de desligamento rápido foi recebido
2019-08-02 17:28:07 -03 LOG:  interrompendo quaisquer transações ativas
2019-08-02 17:28:07 -03 LOG:  autovacuum launcher shutting down
2019-08-02 17:28:07 -03 ERROR:  canceling statement due to user request
2019-08-02 17:28:07 -03 LOG:  autovacuum launcher shutting down
2019-08-02 17:28:07 -03 LOG:  shutting down
2019-08-02 17:28:08 -03 LOG:  database system is shut down
